# name_mcp          name_NED                   ra_mcp_1      dec_mcp_1      redshift_maser   Lum_dis   maser   L_12um_bestfit_1   chi2_maser   logL_OIII_C   ref_num_3  
  2MASXJ03540948+   2MASXJ03540948+0249307     58.53945833   2.825194444    0.03598          158.41    0       43.52              0.136        ---           ---        
  3C98              3C98                       59.72684167   10.43419444    0.03043          133.43    0       42.39              0.011        ---           ---        
  ESO549-G049       ESO549-G049                60.60691667   -18.04758333   0.02627          114.84    0       43.39              0.06         ---           ---        
  UGC2936           UGC2936                    60.7007875    1.965722222    0.01271          55.0      0       42.35              0.069        40.02         11         
  3C111             3C111                      64.588655     38.02655556    0.04847          215.33    0       43.9               7.926        ---           ---        
  2MASXJ04234080+   2MASXJ04234080+0408017     65.919875     4.133861111    0.04497          199.28    0       44.03              1.218        ---           ---        
  NGC1569           NGC1569                    67.7044125    64.84805556    -3.4E-4          3.39      0       37.11              1.071        39            2          
  MRK1506           3C120                      68.29623125   5.354361111    0.03299          144.93    0       44.06              0.178        40.45         4          
  NGC1614           NGC1614                    68.49939167   -8.578861111   0.01593          69.1      0       43.4               1.059        42.38         5          
  MRK618            MRK618                     69.092675     -10.37605556   0.03553          156.37    0       44.35              0.068        ---           ---        
  MCG-02-12-050     MCG-02-12-050              69.559125     -10.79588889   0.03633          159.99    0       43.49              0.213        ---           ---        
  UGC3142           UGC3142                    70.94495833   28.97180556    0.02164          94.27     0       43.1               0.239        ---           ---        
  J0444+2813        WISEPJ044409.01+281300.7   71.03754167   28.21675       0.01126          48.67     0       42.37              0.055        ---           ---        
  UGC3157           UGC3157                    71.623625     18.46091667    0.0154           66.78     2       43.0               0.047        ---           ---        
  NGC-1667          NGC1667                    72.15475417   -6.319972222   0.01516          65.72     0       42.55              1.678        41.27         2          
  MCG-01-13-025     MCG-01-13-025              72.92283333   -3.809333333   0.01588          68.88     0       42.53              3.356        40.95         4          
  1RXSJ045205.0+4   2MASXJ04520479+4932446     73.02083333   49.54602778    0.02898          126.94    0       43.48              0.325        ---           ---        
  J0452-0312        2MASXJ04524451-0312571     73.18529167   -3.215833333   0.01568          68.0      0       42.75              0.008        ---           ---        
  CGCG420-015       CGCG420-015                73.35729167   4.061694444    0.02937          128.68    0       44.13              0.636        ---           ---        
  NGC1692           NGC1692                    73.84885417   -20.57111111   0.03534          155.52    0       40.22              0.216        ---           ---        
  MS04595+0327      2MASXJ05020903+0331499     75.53770833   3.530527778    0.01598          69.32     0       42.1               0.085        ---           ---        
  2MASXJ05025822+   WISEPJ050258.22+225951.8   75.74258333   22.99772222    0.05766          257.83    0       44.8               0.634        ---           ---        
  050545-235114     2MASXJ05054575-2351139     76.44054167   -23.85388889   0.03502          154.07    0       43.54              0.244        ---           ---        
  NGC-1819          NGC1819                    77.94225      5.200611111    0.0149           64.58     0       42.4               0.014        ---           ---        
  5151978           2MASXJ05151978+1854515     78.832375     18.91444444    0.02347          102.38    0       42.04              0.024        43.47         7          
  AKN120            ARK120                     79.0475875    -0.14975       0.03269          143.58    0       43.9               18.417       39.95         4          
  MCG-02-14-009     MCG-02-14-009              79.08824167   -10.56141667   0.02843          124.48    0       43.54              0.169        ---           ---        
  VIIZw031          VIIZw031                   79.19206667   79.67030556    0.05363          239.13    0       43.5               0.009        ---           ---        
  ESO362-G018       ESO362-G018                79.89915833   -32.65777778   0.01244          53.82     0       42.99              0.04         39.47         4          
  052627-211712     ESO553-G043                81.61355      -21.28666667   0.02774          121.39    0       43.11              0.175        ---           ---        
  NGC-1961          NGC1961                    85.51936542   69.37863889    0.01311          56.75     0       41.86              0.023        40.02         2          
  NGC2110           NGC2110                    88.04742083   -7.456444444   0.00778          33.54     0       43.11              0.472        41.63         4          
  MCG+08-11-011     UGC3374                    88.72338333   46.43927778    0.02047          89.1      0       44.19              2.001        ---           ---        
  J0558-3820        2MASXJ05580206-3820043     89.50833333   -38.33463889   0.03385          148.8     0       44.25              3.517        42.68         5          
  NGC-2207          NGC2207                    94.09179167   -21.3725       0.00914          39.45     0       41.7               0.225        ---           ---        
  NGC2146           NGC2146                    94.657125     78.35702778    0.00298          12.8      1       42.42              0.173        39.77         2          
  NGC-2217          NGC2217                    95.41575      -27.23336111   0.0054           23.24     0       41.29              0.223        ---           ---        
  ESO426-G002       ESO426-G002                95.94341667   -32.21661111   0.02241          97.68     0       43.28              0.036        ---           ---        
  VIIZw073          VIIZw073                   97.60654167   63.67811111    0.0413           182.53    3       43.51              0.449        ---           ---        
  UGC-3478          UGC3478                    98.19654167   63.67375       0.01276          55.22     0       42.9               0.128        ---           ---        
  ESO490-IG26       ESO490-IG26                100.0487083   -25.89525      0.02483          108.43    0       43.47              0.02         ---           ---        
