# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  UGC06728          UGC6728                    176.3167583   79.68147222    0.00651          28.04     0       41.97            0.019        ---           ---       10.563   0.022       9.856    0.02        7.135    0.015       4.91     0.027      
  2MASXJ11454045-   2MASXJ11454045-1827149     176.4186333   -18.45430556   0.03293          144.66    0       43.57            0.958        42.11         4         10.333   0.023       9.454    0.02        6.664    0.016       4.497    0.035      
  NGC3884           NGC3884                    176.5507667   20.39163889    0.02342          102.16    0       42.32            2.729        40.29         1         10.624   0.022       10.515   0.02        8.791    0.027       6.837    0.082      
  MRK1457           MRK1457                    176.8400458   52.44944444    0.04854          215.65    0       43.46            0.797        42.04         1         11.57    0.023       10.93    0.02        7.1      0.017       4.393    0.023      
  MCG+05-28-032     MCG+05-28-032              177.1914458   29.64111111    0.023            100.3     0       43.2             1.15         ---           ---       10.24    0.023       9.515    0.02        6.993    0.016       4.538    0.028      
  NGC3898           NGC3898                    177.3140417   56.08427778    0.00392          16.85     0       39.91            1.027        38.41         2         8.914    0.022       8.927    0.019       8.13     0.022       6.808    0.082      
  NGC3921           NGC3921                    177.7786375   55.07863889    0.01965          85.48     0       42.34            0.923        40.43         6         10.368   0.023       10.287   0.021       7.269    0.017       4.836    0.027      
  MCG-01-30-041     MCG-01-30-041              178.159       -5.206916667   0.0188           81.73     0       42.76            0.082        ---           ---       10.574   0.022       10.042   0.02        6.73     0.015       4.164    0.023      
  NGC3941           NGC3941                    178.2306583   36.98641667    0.0031           13.32     0       40.28            2.544        38.86         2         8.456    0.022       8.483    0.019       7.808    0.018       6.5      0.055      
  ESO320-G030       ESO320-G030                178.2988333   -39.13025      0.01077          46.54     0       42.33            0.017        ---           ---       9.358    0.023       9.01     0.021       4.642    0.014       1.833    0.017      
  NGC3945           NGC3945                    178.3072083   60.67555556    0.00427          18.36     0       39.85            5.247        38.38         2         8.793    0.022       8.815    0.019       8.042    0.019       6.66     0.062      
  Mrk42             Mrk42                      178.42405     46.21191667    0.02462          107.49    0       42.66            1.767        ---           ---       11.319   0.023       10.699   0.021       7.889    0.019       5.49     0.034      
  NGC3976           NGC3976                    178.9887083   6.749444444    0.00833          35.88     0       40.89            0.139        39.54         5         9.45     0.023       9.456    0.02        7.501    0.018       5.526    0.04       
  NGC3982           NGC3982                    179.1172042   55.12513889    0.0037           15.9      0       41.25            0.468        39.86         1         10.339   0.022       10.066   0.019       6.079    0.014       3.122    0.021      
  115704+524903     2MASXJ11570483+5249036     179.2701708   52.81769444    0.03548          156.15    0       43.37            0.992        41.45         1         11.958   0.023       10.925   0.02        7.417    0.017       4.619    0.027      
  NGC3998           NGC3998                    179.4838888   55.45347222    0.00349          15.0      0       41.61            1.875        39.88         2         8.249    0.023       8.187    0.018       6.343    0.016       4.365    0.029      
  NGC4013           NGC4013                    179.63075     43.92536111    0.00277          11.9      0       41.62            18.402       ---           ---       9.305    0.022       9.094    0.02        6.352    0.014       4.211    0.024      
  J1158+4243        IC0750                     179.7175042   42.72252778    0.00234          10.05     0       41.18            0.621        38.81         1         8.859    0.022       8.476    0.02        4.479    0.013       1.799    0.015      
  IC751             IC751                      179.71915     42.57027778    0.03118          136.79    0       43.63            0.166        41.72         1         10.731   0.021       9.888    0.019       6.461    0.016       3.888    0.025      
  CGCG041-020       CGCG041-020                180.2413917   6.806444444    0.03602          158.59    0       43.36            0.28         41.08         1         11.064   0.022       10.381   0.02        7.069    0.016       4.662    0.03       
  MRK1310           MRK1310                    180.3098208   -3.678055556   0.01955          85.04     0       42.41            0.679        ---           ---       11.537   0.032       10.941   0.029       7.924    0.033       5.869    0.089      
  NGC-4036          NGC4036                    180.3614708   61.89569444    0.00462          19.87     0       40.58            0.424        38.90         2         8.826    0.023       8.813    0.019       7.72     0.017       6.099    0.045      
  NGC4051           NGC4051                    180.7900583   44.53133333    0.00233          10.0      1       42.04            0.013        39.86         2         8.871    0.023       7.966    0.02        4.576    0.015       2.162    0.016      
  ARK347            NGC4074                    181.1236542   20.31619444    0.02243          97.77     0       43.25            0.979        ---           ---       10.475   0.023       9.735    0.02        6.492    0.015       4.02     0.02       
  UGC7064           UGC7064                    181.1805083   31.17727778    0.02498          109.09    0       43.35            0.013        41.52         1         10.454   0.023       9.766    0.021       6.191    0.015       3.585    0.02       
  NGC4102           NGC4102                    181.5957958   52.71097222    0.00282          12.11     0       40.85            4.682        37.47         1         8.188    0.022       7.809    0.02        3.681    0.015       0.533    0.013      
  NGC4111           NGC4111                    181.76305     43.0655        0.00267          11.34     0       39.54            0.364        38.88         2         8.225    0.023       8.221    0.019       7.009    0.015       5.229    0.03       
  NGC4117           NGC4117                    181.9421375   43.12641667    0.00311          13.36     0       40.32            0.791        39.09         1         10.788   0.022       10.796   0.02        8.69     0.026       6.088    0.047      
  Mrk198            Mrk198                     182.3088      47.05836111    0.0242           105.63    0       43.21            0.554        41.40         1         10.912   0.023       10.146   0.02        6.811    0.016       4.593    0.027      
  NGC4138           NGC4138                    182.3740833   43.68530556    0.00296          12.71     0       41.13            2.08         38.75         2         9.4      0.022       9.268    0.019       7.32     0.016       5.125    0.034      
  NGC4143           NGC4143                    182.4002667   42.53413889    0.00315          13.53     0       40.58            4.285        37.81         2         8.716    0.022       8.74     0.019       7.639    0.018       6.073    0.046      
  NGC4151           NGC4151                    182.6357458   39.40575       0.00332          14.26     1       43.06            4.556        41.61         2         6.745    0.049       5.927    0.037       3.208    0.01        0.751    0.019      
  KUG1208+386       KUG1208+386                182.6844875   38.33611111    0.02278          99.32     0       43.28            4.414        ---           ---       9.964    0.022       9.195    0.02        6.751    0.016       4.536    0.025      
  NGC4156           NGC4156                    182.7067167   39.47275       0.02252          98.17     0       42.18            1.353        40.15         1         11.173   0.023       11.083   0.021       8.342    0.024       5.657    0.041      
  NGC4168           NGC4168                    183.0719521   13.20530556    0.00762          32.85     0       40.11            2.699        38.66         1         9.909    0.022       9.937    0.021       9.494    0.041       8.31     0.34       
  NGC-4169          NGC4169                    183.07825     29.17933333    0.01261          54.56     0       41.59            1.475        41.75         2         9.742    0.022       9.761    0.019       8.513    0.024       6.967    0.086      
  J1212+2910        SDSSJ121230.72+291006.8    183.1280417   29.16861111    0.01369          59.29     0       41.82            0.257        38.93         1         9.9      0.023       9.554    0.02        5.727    0.015       3.461    0.022      
  J121303+070220    NGC4180                    183.2626958   7.038916667    0.00699          30.12     0       41.76            0.26         ---           ---       9.727    0.022       9.474    0.019       5.901    0.015       3.721    0.022      
  121309+323547     CGCG187-022                183.2888375   32.59633333    0.02488          108.65    0       42.4             0.402        40.68         1         11.39    0.023       11.078   0.02        7.347    0.017       4.372    0.023      
  NGC4194           NGC4194                    183.5394583   54.52694444    0.00834          35.97     2       42.84            0.296        42.43         1         9.211    0.022       8.583    0.02        4.119    0.015       0.957    0.018      
  WAS49a            WAS49a                     183.576075    29.52961111    0.06324          283.9     0       40.47            3.373        41.36         1         13.054   0.036       13.0     0.053       11.098   0.327       7.812    -999.0     
  NGC4203           NGC4203                    183.7710642   33.19722222    0.00362          15.56     0       41.07            4.997        37.58         2         8.639    0.022       8.595    0.019       7.153    0.016       5.637    0.04       
  NGC4214           NGC4214                    183.9132083   36.32688889    9.7E-4           4.2       1       39.54            0.007        38.77         2         11.561   0.028       11.073   0.023       6.36     0.014       2.619    0.021      
  NGC-4224          NGC4224                    184.140775    7.462138889    0.00868          37.45     0       41.33            2.46         39.74         1         9.914    0.021       9.91     0.02        8.616    0.024       7.008    0.095      
  ESO505-IG030      ESO505-IG030               184.2380417   -26.20944444   0.03969          175.21    0       43.8             0.082        ---           ---       10.535   0.031       9.662    0.026       6.658    0.022       4.25     0.036      
  NGC-4235          NGC4235                    184.2911742   7.191416667    0.00803          34.63     0       41.92            1.01         40.65         2         9.498    0.023       9.158    0.02        7.084    0.015       5.029    0.033      
  NGC4253           NGC4253                    184.6104542   29.81283333    0.01292          55.92     1       43.41            0.955        39.22         1         9.42     0.023       8.512    0.02        5.002    0.014       2.133    0.02       
  NGC-4254          MESSIER099                 184.7066833   14.41638889    0.00802          34.58     0       41.67            0.054        39.54         2         9.553    0.023       9.386    0.02        5.787    0.017       3.378    0.03       
  NGC4258           MESSIER106                 184.7396025   47.30377778    0.00149          6.39      4       41.17            0.117        39.08         2         8.53     0.023       8.19     0.02        5.482    0.015       3.328    0.02       
  3C270             NGC4261                    184.8467517   5.825305556    0.00747          31.76     0       41.22            0.358        36.38         1         8.722    0.023       8.752    0.019       7.697    0.02        5.573    0.044      
  MS12170+0700      2MASXJ12193086+0643348     184.878625    6.726138889    0.08058          365.81    0       43.76            0.13         ---           ---       11.706   0.023       10.863   0.02        8.164    0.024       6.323    0.061      
  B21217+29         NGC4278                    185.0284342   29.28083333    0.00207          8.89      0       40.46            2.454        ---           ---       8.392    0.021       8.39     0.02        7.428    0.016       6.024    0.064      
  HB891219+047      [HB89]1219+047             185.4080958   4.507277778    0.09393          430.63    0       43.75            0.652        ---           ---       13.069   0.025       12.072   0.025       8.81     0.031       6.326    0.058      
  NGC4303           MESSIER061                 185.4787292   4.473638889    0.00522          22.46     0       41.42            0.126        39.84         2         9.024    0.024       8.986    0.02        5.611    0.019       3.272    0.031      
  2MASXJ12221536+   2MASXJ12221536+2821231     185.5640708   28.35666667    0.02796          122.38    0       41.79            0.835        ---           ---       12.915   0.023       12.54    0.024       10.462   0.071       8.547    0.353      
  NGC-4321          MESSIER100                 185.7284625   15.82247222    0.00524          22.55     0       41.67            0.025        38.04         1         9.243    0.023       9.024    0.02        5.038    0.014       2.522    0.023      
  122306+103716     NGC4325                    185.7778375   10.62122222    0.02548          112.3     0       41.16            0.155        39            1         11.077   0.022       11.155   0.021       10.215   0.066       8.525    -999.0     
  MARK50            MARK50                     185.8505667   2.679138889    0.02342          102.16    0       42.62            3.671        ---           ---       11.259   0.022       10.525   0.02        8.022    0.023       6.233    0.07       
  SBS1221+585       SBS1221+585                185.9283667   58.24616667    0.01537          66.64     0       41.67            0.588        ---           ---       12.91    0.023       12.501   0.023       9.429    0.033       7.041    0.085      
  M84               MESSIER084                 186.2655971   12.88691667    0.00339          14.57     0       40.13            0.542        ---           ---       8.034    0.023       8.018    0.02        7.168    0.016       5.925    0.043      
  2MASXJ12251310+   2MASXJ12251310+3214020     186.3046958   32.23386111    0.05901          263.94    0       41.94            0.073        40.34         1         11.964   0.024       11.951   0.022       10.434   0.068       8.211    0.217      
  NGC4378           NGC4378                    186.3254292   4.92525        0.00853          36.8      0       41.08            2.999        39.13         2         9.562    0.023       9.583    0.02        8.482    0.026       7.079    0.105      
  NGC4387           NGC4387                    186.4236667   12.81055556    0.00156          6.69      0       37.15            1.659        35.47         1         9.979    0.022       10.034   0.019       9.678    0.044       8.721    0.446      
  NGC4388           NGC4388                    186.4447792   12.66219444    0.00841          36.28     4       43.14            0.304        41.88         2         9.044    0.022       8.031    0.019       4.61     0.015       1.516    0.016      
  NGC4395           NGC4395                    186.4535917   33.54675       0.00107          4.59      0       39.86            1.795        39.29         1         12.624   0.025       11.839   0.023       8.605    0.024       5.519    0.037      
  NGC-4402          NGC4402                    186.5318875   13.11277778    7.9E-4           3.39      0       39.74            0.147        36.18         1         10.386   0.023       10.132   0.021       6.159    0.014       4.208    0.023      
  NGC-4413          NGC4407                    186.6343667   12.611         3.5E-4           1.5       0       38.44            1.142        35.70         1         11.31    0.023       11.245   0.022       7.497    0.018       5.084    0.031      
  NGC-4438          NGC4438                    186.9399742   13.00886111    2.3E-4           0.99      0       38.77            0.09         37.20         2         8.46     0.021       8.357    0.02        6.048    0.014       4.316    0.026      
  NGC-4450          NGC4450                    187.1234583   17.08491667    0.00651          28.04     0       39.89            1.071        39.02         2         9.141    0.023       9.127    0.02        7.557    0.019       5.628    0.04       
  NGC-4459          NGC4459                    187.2500375   13.97858333    0.00397          17.07     0       41.46            0.194        37.97         2         8.541    0.021       8.498    0.019       6.413    0.013       4.87     0.034      
  NGC-4477          NGC4477                    187.5091583   13.63638889    0.00446          19.18     0       40.9             2.359        39.25         2         8.88     0.022       8.901    0.019       8.01     0.022       6.571    0.062      
  NGC-4500          NGC4500                    187.8423333   57.96463889    0.01037          44.8      0       42.05            0.257        41.27         7         10.05    0.022       9.793    0.02        5.808    0.014       3.177    0.019      
  NGC4501           MESSIER088                 187.9965042   14.42055556    0.0076           32.76     0       41.88            0.115        39.90         2         8.815    0.023       8.735    0.02        7.084    0.018       5.187    0.056      
  NGC-4536          NGC4536                    188.6127083   2.187916667    0.00603          25.96     0       41.9             0.333        39.45         2         8.567    0.023       8.206    0.02        3.943    0.015       1.181    0.019      
  NGC4507           NGC4507                    188.9026292   -39.90927778   0.01179          50.98     0       43.66            0.408        42.18         3         8.647    0.022       7.567    0.02        4.405    0.014       1.891    0.015      
  MESSIER089        MESSIER089                 188.9158638   12.55636111    0.00114          4.89      0       38.92            0.855        ---           ---       8.087    0.022       8.113    0.02        7.436    0.016       6.234    0.054      
  NGC-4565          NGC4565                    189.0865842   25.98769444    0.0041           17.63     0       41.31            4.3          39.38         2         7.96     0.023       8.201    0.019       6.572    0.014       4.938    0.032      
  NGC4569           MESSIER090                 189.2074708   13.16286111    0.00231          9.92      0       40.67            0.102        39.47         2         8.747    0.022       8.667    0.019       5.292    0.015       2.653    0.02       
  NGC4579           MESSIER058                 189.4313417   11.81802778    0.00506          21.77     0       41.72            4.658        39.74         2         8.489    0.022       8.277    0.021       6.269    0.018       4.118    0.034      
  ESO506-027        ESO506-G027                189.7274583   -27.30783333   0.02501          109.23    0       43.62            0.228        41.11         4         10.094   0.023       9.011    0.02        5.97     0.015       3.779    0.021      
  J1239-1610        2MASXJ12390630-1610472     189.7761875   -16.18002778   0.03665          161.44    0       43.56            0.8          ---           ---       11.086   0.022       10.293   0.02        7.092    0.017       4.711    0.028      
  NGC4593           NGC4593                    189.9142708   -5.344277778   0.00899          38.79     0       42.85            0.024        41.31         5         8.922    0.023       8.186    0.02        5.174    0.014       2.79     0.02       
  J1239+3458        MRK0653                    189.9652917   34.97486111    0.04303          190.42    0       43.56            0.939        40.84         1         11.451   0.023       10.652   0.021       7.376    0.018       4.882    0.03       
  MESSIER104        MESSIER104                 189.9976325   -11.62305556   0.00341          14.65     0       40.5             4.384        ---           ---       6.587    0.029       7.227    0.02        6.38     0.014       4.732    0.034      
  J124144+350345    NGC4619                    190.4356208   35.06275       0.02309          100.7     0       42.64            1.511        40.72         1         10.76    0.022       10.571   0.02        7.769    0.021       5.751    0.044      
  J124240+141744    NGC4634                    190.6706667   14.29586111    9.8E-4           4.2       0       39.84            0.155        ---           ---       10.395   0.022       10.11    0.019       6.291    0.012       4.411    0.024      
  NGC4636           NGC4636                    190.7076125   2.68775        0.00313          13.45     0       39.16            0.974        37.50         1         8.764    0.023       8.789    0.02        8.204    0.023       6.969    0.083      
  NGC-4666          NGC4666                    191.2857958   -0.461888889   0.0051           21.94     0       41.99            0.046        41.18         6         8.486    0.022       8.243    0.02        4.881    0.017       2.399    0.027      
  PG1244+026        GALEXASCJ124635.27+0222... 191.6469583   2.368861111    0.04814          213.81    0       43.76            1.061        ---           ---       11.64    0.022       10.588   0.02        7.221    0.017       4.661    0.026      
  NGC4686           NGC4686                    191.6661833   54.53419444    0.01672          72.57     0       42.44            1.918        ---           ---       9.793    0.023       9.662    0.02        7.755    0.017       5.562    0.031      
  NGC4698           NGC4698                    192.0954458   8.4875         0.00336          14.44     0       38.87            3.87         38.77         2         9.247    0.022       9.289    0.02        8.74     0.03        7.284    0.119      
  IRAS12468-1107    2MASXJ12493014-1124031     192.3756667   -11.40091667   0.04819          213.9     0       43.98            0.061        ---           ---       11.475   0.022       10.107   0.019       5.869    0.014       2.805    0.016      
  NGC-4725          NGC4725                    192.6107542   25.50072222    0.00402          17.28     0       39.19            0.268        38.90         2         8.671    0.022       8.698    0.02        7.281    0.017       5.537    0.035      
  SDSSJ12504+0013   UM521                      192.61425     0.229444444    0.04683          207.8     0       42.16            2.364        40.27         1         12.55    0.023       12.358   0.024       10.178   0.063       8.447    0.315      
  NGC4736           MESSIER094                 192.7210875   41.12044444    0.00103          4.42      0       41.38            6.049        37.49         2         5.611    0.048       6.12     0.019       4.337    0.013       2.036    0.019      
  NGC4748           NGC4748                    193.0519167   -13.41475      0.01462          63.36     0       42.59            0.033        ---           ---       10.272   0.022       9.783    0.019       6.428    0.014       3.675    0.024      
  NGC4772           NGC4772                    193.3715054   2.168333333    0.00347          14.91     0       40.39            2.257        38.45         2         9.696    0.021       9.747    0.019       8.761    0.028       7.114    0.105      
  Mrk231            Mrk231                     194.0593079   56.87369444    0.04217          186.36    0       45.31            1.783        ---           ---       7.398    0.031       6.301    0.024       3.188    0.01        0.269    0.011      
  ESO269-G012       ESO269-G012                194.1689042   -46.92619444   0.01671          72.53     4       40.82            0.087        ---           ---       10.894   0.022       10.923   0.02        9.077    0.026       6.443    0.056      
  125801+013433     NGC4845                    194.5049667   1.575833333    0.00411          17.67     0       41.42            0.183        39.50         1         9.161    0.023       8.813    0.02        5.196    0.014       3.07     0.018      
  J125805+281433    NGC4848                    194.5235208   28.24255556    0.0235           102.52    0       42.15            0.053        40.09         1         11.257   0.023       11.038   0.02        7.271    0.016       4.587    0.028      
  Mrk783            Mrk783                     195.7451708   16.40747222    0.06715          302.27    0       43.73            2.149        ---           ---       11.37    0.023       10.577   0.02        7.882    0.02        5.258    0.036      
  SBS1301+540       SBS1301+540                195.9979042   53.79169444    0.02988          130.97    0       42.64            3.013        40.81         4         11.586   0.023       10.898   0.02        8.42     0.022       6.475    0.055      
  NGC4941           NGC4941                    196.05475     -5.551277778   0.00369          15.86     0       41.49            0.053        41.13         3         9.745    0.023       9.375    0.021       6.344    0.016       3.604    0.021      
  NGC4939           NGC4939                    196.0599583   -10.33969444   0.01037          44.8      0       42.31            0.162        ---           ---       10.046   0.022       9.694    0.02        6.866    0.017       3.878    0.023      
  NGC4945           NGC4945                    196.3644875   -49.46819444   0.00187          8.03      2       42.41            1.041        ---           ---       7.768    0.023       6.498    0.02        2.622    0.011       -0.189   0.017      
  ESO323-077        ESO323-G077                196.6088542   -40.41458333   0.015            65.02     0       43.8             0.109        ---           ---       8.01     0.023       7.182    0.02        4.458    0.015       2.178    0.016      
  NGC4968           NGC4968                    196.7749167   -23.67705556   0.00986          42.58     4       42.84            0.035        41.95         5         9.993    0.022       9.102    0.02        5.105    0.014       2.41     0.022      
  NGC4992           NGC4992                    197.27335     11.63413889    0.02512          109.72    0       43.28            2.577        39.77         1         10.491   0.022       9.528    0.019       6.856    0.015       4.614    0.028      
  NGC5005           NGC5005                    197.7342958   37.05891667    0.00315          13.53     0       41.19            0.675        38.81         2         7.785    0.024       7.856    0.02        5.229    0.014       3.02     0.02       
  IISZ10            IISZ10                     198.2741208   -11.12844444   0.03424          150.56    0       43.64            0.177        ---           ---       11.166   0.022       10.002   0.02        6.739    0.015       4.453    0.025      
  NGC-5033          NGC5033                    198.3644417   36.59397222    0.00292          12.54     0       40.58            0.037        39.52         2         8.556    0.022       8.367    0.019       5.302    0.013       2.89     0.021      
  UGC08327NED02     UGC08327NED02              198.8219375   44.40711111    0.03653          160.89    0       43.92            1.34         41.52         1         10.558   0.023       9.366    0.02        6.167    0.015       3.433    0.02       
  NGC5106           NGC5106NED02               200.2482875   8.978333333    0.03192          140.12    0       43.4             0.211        41.36         7         10.49    0.022       9.93     0.02        6.24     0.014       4.29     0.025      
  MCG-03-34-064     MCG-03-34-064              200.6019042   -16.72841667   0.01653          71.74     0       43.93            0.036        42.58         4         9.383    0.023       7.952    0.02        4.054    0.014       1.406    0.016      
  132348+431804     CGCG218-007                200.9518833   43.30116667    0.02726          119.25    0       42.43            0.681        41.61         1         11.331   0.022       10.941   0.019       7.161    0.016       4.254    0.025      
  NGC5128           NGC5128                    201.3650633   -42.99725      0.00182          7.81      1       42.78            7.413        ---           ---       5.262    0.051       4.757    0.041       2.621    0.012       0.279    0.015      
  NGC5135           NGC5135                    201.43358     -29.81811      0.01368          59.24     0       43.37            0.042        ---           ---       9.158    0.022       8.427    0.02        4.488    0.014       1.618    0.016      
  M51a              MESSIER051a                202.4696292   47.19516667    0.00154          6.61      1       40.74            0.026        40.09         8         8.84     0.024       8.664    0.02        6.19     0.023       3.386    0.036      
  NGC5195           MESSIER051b                202.4982917   47.268         0.00149          6.39      0       40.65            0.866        36.83         2         7.543    0.025       7.671    0.019       4.531    0.014       2.141    0.02       
  MRK789            MRK789                     203.1009917   11.10633333    0.03146          137.92    0       42.71            0.041        40.90         1         11.067   0.023       10.666   0.02        6.282    0.014       3.171    0.02       
  J1335+0259        NGC5231                    203.9510375   2.998972222    0.02174          94.72     0       43.01            0.903        40.63         1         10.679   0.022       10.121   0.02        7.13     0.016       4.918    0.028      
  ESO383-G035       ESO383-G035                203.9737792   -34.29555556   0.00774          33.37     0       42.99            0.302        41.31         5         8.692    0.023       7.768    0.021       4.942    0.016       2.626    0.019      
  1327+4326         UGC8621                    204.416125    39.15494444    0.02008          87.38     0       42.91            0.682        40.52         1         10.935   0.022       10.477   0.02        6.908    0.014       4.776    0.027      
  NGC5256           NGC5256                    204.5729167   48.27805556    0.02808          121.84    2       43.08            0.05         41.29         1         10.521   0.022       9.934    0.02        5.659    0.015       2.535    0.018      
  NGC5253           NGC5253                    204.9831796   -31.64008333   0.00135          5.79      1       41.86            0.121        40.81         6         9.267    0.023       7.524    0.02        2.787    0.01        -0.261   0.011      
  NGC5283           NGC5283                    205.2739958   67.67208333    0.0104           44.93     0       41.61            0.052        40.97         3         10.446   0.022       10.326   0.02        8.019    0.019       5.521    0.032      
  MRK0268           MRK0268                    205.2964083   30.37813889    0.03983          175.85    0       43.69            0.738        42.08         9         11.0     0.022       10.16    0.019       6.705    0.016       3.749    0.024      
  R14.01            2MASXJ13411287-1438407     205.3037667   -14.64441667   0.04176          184.63    0       43.81            0.106        ---           ---       10.22    0.022       9.296    0.019       6.35     0.015       4.117    0.023      
  B2_1339+26        UGC8669NED01               205.4547667   26.37227778    0.07568          342.69    0       40.55            1.711        ---           ---       11.869   0.023       11.856   0.022       11.334   0.147       8.665    -999.0     
  NGC5273           NGC5273                    205.5347417   35.65419444    0.00362          15.56     0       41.0             2.615        39.68         1         10.217   0.022       10.045   0.02        7.498    0.017       4.988    0.028      
  J1344+1933        CGCG102-048                206.06525     19.56666667    0.02705          118.31    0       42.45            0.984        40.22         1         11.469   0.024       11.336   0.021       8.91     0.025       6.532    0.055      
  Mrk273            Mrk273                     206.1754625   55.86588889    0.03775          166.41    0       44.02            1.051        ---           ---       10.416   0.022       9.234    0.02        5.349    0.015       1.81     0.016      
  NGC-5290          NGC5290                    206.3299167   41.71261111    0.00858          37.01     0       41.88            1.085        39.93         1         9.436    0.023       9.11     0.02        6.785    0.014       4.815    0.027      
  MRK1361           MRK1361                    206.7681542   11.10636111    0.0226           98.44     0       43.2             0.111        41.88         1         10.35    0.023       9.524    0.02        5.78     0.014       2.81     0.018      
  2E1346+2646       2MASXJ13483499+2631093     207.1456083   26.51947222    0.05887          263.47    0       43.53            1.349        ---           ---       12.136   0.028       11.373   0.023       8.085    0.019       5.973    0.045      
  B2_1346+26        CGCG162-010                207.2188958   26.59277778    0.06326          283.8     0       40.83            0.085        ---           ---       11.995   0.023       11.997   0.022       10.582   0.063       8.911    0.361      
  IC4329            IC4329                     207.272125    -30.29583333   0.01513          65.59     0       39.17            0.858        ---           ---       9.795    0.023       9.848    0.02        9.37     0.033       8.4      0.263      
  UM614             UM614                      207.4701667   2.079166667    0.03268          143.53    0       43.26            0.917        ---           ---       11.265   0.023       10.5     0.02        7.639    0.017       5.216    0.032      
  Mrk279            UGC8823                    208.2643625   69.30825       0.03043          133.43    0       43.54            0.905        41.41         5         10.333   0.023       9.407    0.02        5.87     0.015       3.369    0.018      
  NGC5347           NGC5347                    208.3243083   33.49080556    0.00778          33.54     2       42.75            0.073        40.34         1         10.138   0.023       9.085    0.02        5.257    0.014       2.544    0.02       
  NGC-5350          NGC5350                    208.340125    40.36397222    0.00774          33.37     0       40.84            0.082        39.09         1         10.682   0.022       10.639   0.02        7.284    0.016       4.155    0.023      
  NGC-5353          NGC5353                    208.3612208   40.28302778    0.00775          33.41     0       41.14            0.63         38.59         2         8.738    0.023       8.75     0.02        7.798    0.019       6.607    0.06       
  UGC8850           UGC8850                    209.0119625   18.37202778    0.05032          223.84    0       44.99            2.876        41.36         1         8.485    0.022       7.323    0.019       4.523    0.014       1.914    0.016      
  NGC-5394          NGC5394                    209.6402167   37.4535        0.01149          49.68     0       41.85            0.689        38.34         1         10.118   0.022       9.834    0.019       5.422    0.015       2.524    0.021      
  NGC-5395          NGC5395                    209.6582625   37.42455556    0.0117           50.59     0       41.72            1.243        38.86         1         10.632   0.022       10.653   0.02        8.78     0.035       6.834    0.101      
  UM625             UM625                      210.169025    -1.921666667   0.02498          109.09    0       42.69            0.488        41.34         1         12.201   0.023       11.525   0.022       7.706    0.018       4.847    0.024      
  PG1404+226        PG1404+226                 211.5911792   22.39608333    0.09793          450.16    0       44.0             0.091        ---           ---       11.823   0.023       10.879   0.021       8.148    0.019       6.036    0.048      
  IC4374            IC4374                     211.8740092   -27.01783333   0.0218           94.89     0       40.89            0.143        ---           ---       10.693   0.024       10.74    0.022       9.548    0.042       7.909    0.235      
  Circinus          CircinusGalaxy             213.2914583   -65.33922222   0.00145          6.22      4       43.55            3.673        40.95         3         4.237    0.102       3.444    0.127       -0.358   0.231       -2.293   0.003      
  NGC5506           NGC5506                    213.31205     -3.207555556   0.00618          26.61     2       43.48            6.224        41.45         3         7.357    0.031       6.193    0.025       3.698    0.016       1.084    0.018      
  NGC5548           NGC5548                    214.4980583   25.13675       0.01716          74.51     0       43.55            1.447        40.59         2         9.172    0.023       8.366    0.02        5.563    0.014       3.018    0.017      
  142441+263731     CGCG163-041                216.1688542   26.62536111    0.03713          163.61    0       42.28            2.118        40.18         1         11.717   0.022       11.642   0.021       9.75     0.038       7.526    0.105      
  142758+263016     IC4436                     216.992425    26.50452778    0.03234          142.0     0       41.29            2.477        39.91         1         11.282   0.023       11.352   0.021       10.497   0.061       8.974    0.362      
  MRK684            MRK684                     217.7699292   28.28719444    0.04605          204.22    0       43.59            0.452        ---           ---       10.704   0.023       9.99     0.02        7.009    0.016       4.638    0.028      
  NGC5643           NGC5643                    218.1697625   -44.17472222   0.004            17.2      2       42.06            0.017        41.36         3         9.41     0.022       8.759    0.019       4.77     0.016       1.644    0.019      
  NGC5674           NGC5674                    218.4676792   5.458222222    0.02491          108.78    0       43.28            0.586        ---           ---       10.441   0.023       9.907    0.02        6.847    0.016       4.457    0.025      
  Zw047.107         CGCG047-107                218.71095     3.645166667    0.02863          125.37    0       41.98            0.825        39.70         1         12.805   0.025       12.639   0.026       9.241    0.03        7.138    0.09       
  MARK474           NGC5683                    218.7185292   48.66194444    0.0362           159.4     0       42.58            0.697        ---           ---       11.906   0.023       11.352   0.021       8.039    0.02        5.563    0.033      
  MRK817            UGC9412                    219.09195     58.79419444    0.03143          137.92    0       44.28            1.868        41.84         5         9.197    0.022       8.266    0.02        5.159    0.015       2.377    0.018      
  NGC5695           NGC5695                    219.3421792   36.56761111    0.01408          60.99     0       41.62            1.627        40.70         1         10.659   0.022       10.634   0.02        8.023    0.018       5.618    0.032      
  144012+024743     TOLOLO1437+030             220.0529167   2.795416667    0.02983          130.29    0       42.58            0.061        41.29         1         13.393   0.024       12.255   0.023       7.77     0.019       4.539    0.025      
