# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  2MASXJ01500266-   2MASXJ01500266-0725482     27.51123833   -7.43          0.01801          78.25     0       43.19            2.209        41.75         5         11.291   0.023       9.949    0.02        5.709    0.014       2.886    0.014      
  NGC-703           NGC703                     28.165        36.17141667    0.0186           80.85     0       40.88            0.154        ---           ---       10.343   0.022       10.367   0.02        8.497    0.026       6.928    0.077      
  NGC0708           NGC708                     28.19366667   36.15194444    0.01618          70.2      0       40.82            0.296        ---           ---       10.427   0.022       10.522   0.02        9.434    0.042       8.397    0.309      
  015248-084320     2MASXJ01524845-0843202     28.2017625    -8.722444444   0.03695          162.79    0       42.65            0.317        ---           ---       11.855   0.023       11.543   0.022       7.605    0.018       4.711    0.023      
  MCG-01-05-047     MCG-01-05-047              28.20416667   -3.446833333   0.01719          74.64     0       43.04            0.578        40.29         10        9.991    0.022       9.35     0.02        6.427    0.014       4.141    0.028      
  NGC-716           NGC716                     28.24867083   12.70833333    0.01519          65.86     0       42.77            0.115        ---           ---       9.942    0.021       9.625    0.02        5.442    0.014       2.993    0.023      
  NGC-714           NGC714                     28.37354167   36.22133333    0.01473          63.84     0       39.4             1.046        ---           ---       10.11    0.023       10.206   0.02        9.527    0.038       7.347    0.103      
  J015435+643757    2MASXJ01543532+6437570     28.64704167   64.63255556    0.03487          153.4     0       44.14            3.849        ---           ---       10.219   0.023       8.232    0.02        5.619    0.015       2.525    0.017      
  NGC741            NGC741                     29.087625     5.629          0.01854          80.58     0       41.1             3.299        ---           ---       9.775    0.022       9.796    0.019       9.346    0.035       7.942    0.177      
  NGC777            NGC777                     30.06209167   31.42936111    0.01672          72.57     0       40.58            2.937        ---           ---       9.442    0.022       9.498    0.019       8.888    0.03        7.71     0.172      
  UGC01479          UGC1479                    30.07941667   24.47372222    0.01642          71.25     0       42.06            0.077        40.31         11        10.863   0.022       10.548   0.02        7.019    0.017       4.421    0.032      
  NGC788            NGC788                     30.2768625    -6.815527778   0.01359          58.85     0       43.07            2.221        40.79         3         9.821    0.023       9.037    0.02        5.87     0.015       3.405    0.018      
  Mrk1018           UGC1597                    31.566625     -0.291527778   0.04241          187.59    0       43.61            3.742        38.61         1         10.169   0.022       9.38     0.02        6.969    0.016       4.983    0.031      
  NGC835            NGC835                     32.35251667   -10.13583333   0.01358          58.8      0       42.57            0.493        ---           ---       9.438    0.022       9.24     0.02        5.396    0.014       3.336    0.024      
  Mrk590            NGC863                     33.63984167   -0.766666667   0.02637          115.28    0       43.14            1.371        ---           ---       10.276   0.023       9.859    0.02        6.635    0.016       3.912    0.022      
  2MASXJ02182216-   2MASXJ02182216-0506142     34.59208333   -5.103611111   0.04449          197.08    0       40.62            2.39         ---           ---       12.396   0.023       12.373   0.024       10.513   0.063       8.994    0.415      
  NGC-924           NGC924                     36.695125     20.49747222    0.01487          64.45     0       40.73            2.38         ---           ---       10.167   0.022       10.2     0.02        9.507    0.038       7.638    0.145      
  NGC-931           NGC931                     37.06031667   31.31163889    0.01664          72.22     0       43.86            1.44         41.90         4         8.924    0.022       7.807    0.02        4.68     0.015       2.343    0.019      
  Mrk1044           Mrk1044                    37.52302083   -8.998083333   0.01644          71.34     0       42.98            2.568        ---           ---       9.684    0.022       8.852    0.02        6.113    0.014       4.133    0.027      
  IC1816A           IC1816                     37.9625       -36.67208333   0.01693          73.5      0       42.84            0.015        ---           ---       10.597   0.023       9.998    0.02        6.107    0.015       3.391    0.022      
  023301+002515     UGC2024                    38.25518333   0.420833333    0.02233          97.33     0       43.56            0.047        41.08         1         10.717   0.023       9.444    0.02        5.492    0.015       2.695    0.022      
  NGC-973           NGC973                     38.58379167   32.50558333    0.01618          70.2      0       43.03            0.61         39.38         10        9.184    0.022       8.635    0.019       6.498    0.016       4.048    0.025      
  NGC985            NGC985                     38.65737083   -8.7875        0.04311          190.78    0       44.33            0.398        42.72         4         9.757    0.023       8.806    0.02        5.636    0.015       3.081    0.021      
  ESO416-G002       ESO416-G002                38.80608333   -29.60475      0.05903          264.21    0       43.49            0.046        40.22         4         11.116   0.022       10.616   0.02        7.991    0.02        5.494    0.039      
  MRK0595           MRK595                     40.39539167   7.18725        0.02696          117.91    0       43.26            0.835        ---           ---       10.706   0.021       10.106   0.02        7.279    0.017       4.751    0.03       
  NGC-1050          NGC1050                    40.64829167   34.7635        0.013            56.27     0       42.18            0.056        ---           ---       10.375   0.022       10.033   0.021       5.434    0.015       2.302    0.019      
  NGC1068           MESSIER077                 40.66962917   -0.013277778   0.00379          16.29     4       44.44            1.284        42.75         2         4.166    0.197       3.041    0.304       -0.567   0.392       -2.585   0.001      
  ESO479-G030       ESO479-G030                41.011875     -26.18638889   0.03529          155.29    0       41.9             0.06         ---           ---       10.947   0.023       10.868   0.021       8.006    0.018       6.037    0.041      
  ESO479-G031       ESO479-G031                41.19891667   -24.51388889   0.02351          102.56    0       42.33            0.06         ---           ---       11.018   0.022       10.832   0.019       8.712    0.024       6.426    0.055      
  NGC1097           NGC1097                    41.579375     -30.275        0.00424          18.23     0       42.11            0.22         39.27         5         8.183    0.023       7.872    0.019       3.902    0.015       0.298    0.013      
  2MASXJ02485937+   2MASXJ02485937+2630391     42.2472       26.51088889    0.05796          259.23    0       44.16            0.04         ---           ---       10.825   0.022       9.903    0.021       6.633    0.016       4.225    0.024      
  IC1859            IC1859                     42.26635      -31.1725       0.01954          84.99     0       40.88            0.072        ---           ---       11.21    0.023       11.179   0.021       7.842    0.018       5.716    0.04       
  IC1858            IC1858                     42.28504167   -31.28944444   0.02023          88.04     0       41.39            0.027        ---           ---       10.749   0.022       10.668   0.02        8.496    0.02        6.827    0.061      
  SDSSJ02492-0815   2MASXJ02491286-0815254     42.30361667   -8.257         0.02942          128.91    0       41.37            0.931        ---           ---       13.821   0.026       13.629   0.033       10.942   0.092       8.666    0.24       
  NGC1106           NGC1106                    42.66879167   41.67147222    0.01446          62.66     1       42.44            0.049        ---           ---       10.147   0.021       9.797    0.02        6.284    0.014       3.39     0.022      
  2MASXJ02504259+   2MFGC2280                  42.67745833   54.70486111    0.01514          65.64     0       42.07            0.026        40.24         10        10.65    0.023       10.233   0.019       6.693    0.016       4.528    0.029      
  MCG-02-08-014     MCG-02-08-014              43.09747917   -8.510388889   0.01674          72.66     0       42.79            1.06         39.86         1         10.597   0.022       9.659    0.02        7.157    0.016       4.685    0.026      
  NGC1144           NGC1144                    43.80081667   -0.183583333   0.02883          126.27    0       43.52            0.546        40.31         1         9.993    0.022       9.312    0.02        5.682    0.014       3.121    0.02       
  IC1867            IC1867                     43.96762083   9.312          0.02571          112.34    0       40.45            0.752        ---           ---       10.716   0.022       10.801   0.02        10.15    0.069       8.421    0.409      
  ESO417-G006       ESO417-G006                44.08975      -32.18561111   0.01628          70.64     0       42.1             0.023        ---           ---       10.711   0.022       10.478   0.02        8.18     0.019       5.497    0.034      
  3C75              NGC1128                    44.42320833   6.024777778    0.02315          100.92    0       39.5             0.467        ---           ---       10.763   0.023       10.841   0.02        10.126   0.072       8.209    -999.0     
  Mrk1066           UGC2456                    44.99412917   36.80488889    0.01202          51.99     4       43.2             1.28         ---           ---       9.617    0.023       8.81     0.019       4.764    0.016       1.656    0.016      
  MCG02.08.038      MCG-02-08-038              45.01795833   -10.82436111   0.03257          143.04    0       43.46            2.08         ---           ---       10.378   0.022       9.589    0.02        7.226    0.017       4.867    0.033      
  IRAS02580-1136    MCG-02-08-039              45.12745833   -11.41583333   0.02987          130.92    0       43.34            0.02         42.61         5         11.286   0.022       10.334   0.02        5.936    0.014       3.399    0.021      
  NGC-1167          NGC1167                    45.4265375    35.20572222    0.01648          71.52     0       41.42            3.973        41.18         2         10.016   0.021       10.038   0.019       8.967    0.028       7.015    0.082      
  3C76.1            3C76.1                     45.81259583   16.43861111    0.03247          142.59    0       40.39            0.051        ---           ---       11.974   0.022       11.946   0.023       10.591   0.1         8.066    0.251      
  NGC1194           NGC1194                    45.95462083   -1.10375       0.01359          58.85     4       43.38            2.734        40.84         1         9.695    0.022       8.388    0.02        5.413    0.013       3.008    0.018      
  NGC1229           NGC1229                    47.0449375    -22.96077778   0.03627          159.72    0       43.75            0.102        ---           ---       11.298   0.023       10.172   0.021       6.134    0.015       2.973    0.019      
  2MASXJ03111883-   2MASXJ03111883-2046184     47.828375     -20.77172222   0.06696          301.38    0       44.01            1.02         ---           ---       10.831   0.023       9.942    0.02        7.233    0.017       5.11     0.029      
  MARK1073          UGC2608                    48.7559375    42.03569444    0.02333          101.76    0       43.71            0.741        ---           ---       10.173   0.022       8.891    0.02        5.125    0.014       2.163    0.018      
  NGC1266           NGC1266                    49.003125     -2.427222222   0.00723          31.16     0       41.85            0.141        41.38         6         10.418   0.022       9.774    0.019       6.254    0.015       2.648    0.02       
  UGC02638          UGC2638                    49.2591625    1.254972222    0.02374          103.58    0       43.52            0.837        40.25         1         10.14    0.023       9.256    0.02        6.297    0.017       3.971    0.026      
  NGC-1300          NGC1300                    49.92116667   -19.41138889   0.00526          22.63     0       40.8             0.046        ---           ---       9.972    0.022       9.928    0.02        6.849    0.015       5.072    0.029      
  3C84              NGC1275                    49.95066708   41.51166667    0.01755          76.22     0       43.84            0.075        41.97         12        11.79    0.024       11.78    0.023       9.088    0.033       6.645    0.076      
  NGC1320           NGC1320                    51.20291667   -3.042277778   0.00888          38.32     4       43.0             0.008        41            3         9.505    0.021       8.587    0.02        5.037    0.013       2.399    0.018      
  MRK609            MRK609                     51.3556625    -6.143888889   0.03446          151.55    0       43.82            0.74         41.90         1         10.135   0.023       9.572    0.019       5.978    0.016       3.692    0.022      
  NGC-1332          2MASXJ03260870+2548411     51.57188333   -21.33580556   0.00508          21.86     0       40.05            0.494        ---           ---       8.221    0.023       8.246    0.02        7.251    0.016       6.033    0.044      
  3C88              UGC2                       51.97581167   2.561694444    0.0302           132.4     0       41.02            0.198        ---           ---       11.441   0.022       11.44    0.022       9.736    0.046       7.239    0.11       
  Mrk612            Mrk612                     52.6703875    -3.13775       0.02044          88.97     0       42.89            0.02         42.24         9         10.814   0.022       10.249   0.02        6.573    0.015       3.958    0.025      
  HS0328+0528       2MASXJ03305218+0538253     52.71741667   5.640555556    0.04597          203.86    0       43.82            0.951        ---           ---       11.501   0.023       10.337   0.021       6.643    0.017       3.813    0.023      
  NGC1365           NGC1365                    53.40154583   -36.12211111   0.00546          23.45     0       42.96            0.051        ---           ---       7.683    0.021       6.924    0.019       3.031    0.014       -0.383   0.014      
  NGC1358           NGC1358                    53.41530417   -5.089666667   0.01343          58.15     0       41.54            0.112        41.22         2         10.029   0.022       10.034   0.02        8.363    0.023       5.512    0.041      
  NPM1G-15.0192     2MASXJ03342453-1513402     53.6021875    -15.22775      0.03491          153.58    0       43.29            0.014        ---           ---       11.354   0.026       10.662   0.023       7.188    0.02        4.776    0.041      
  NGC-1371          NGC1371                    53.7555875    -24.93447222   0.00488          20.99     0       40.63            0.247        ---           ---       9.666    0.023       9.616    0.02        8.54     0.023       6.648    0.067      
  NGC1386           NGC1386                    54.192425     -35.97583333   0.00289          12.41     4       42.23            0.012        ---           ---       8.934    0.022       8.088    0.02        4.642    0.014       2.046    0.017      
  ESO482-G014       ESO482-G014                54.26394167   -25.24922222   0.04361          193.06    0       42.24            0.02         ---           ---       12.165   0.023       11.948   0.022       8.958    0.028       6.421    0.061      
  0335+09           2MASXJ03384056+0958119     54.66897083   9.969972222    0.03458          152.0     0       40.89            1.038        ---           ---       11.015   0.021       11.097   0.022       10.14    0.064       8.577    0.366      
  ESO548-G81        ESO548-G81                 55.5152875    -21.24447222   0.01447          62.7      0       43.09            3.609        ---           ---       8.718    0.024       8.007    0.02        6.014    0.015       4.175    0.025      
  IC342             IC342                      56.70209583   68.09636111    9.0E-5           0.39      1       39.03            0.096        35.79         2         7.895    0.023       7.383    0.02        2.763    0.016       -0.729   0.018      
  0353424+3714077   2MASXJ03534246+3714077     58.42699167   37.23547222    0.01863          80.98     0       42.76            1.197        ---           ---       10.996   0.024       10.537   0.021       7.207    0.017       4.807    0.03       
  2MASXJ03540948+   2MASXJ03540948+0249307     58.53945833   2.825194444    0.03598          158.41    0       43.52            0.136        ---           ---       11.283   0.023       10.226   0.019       7.094    0.017       4.544    0.027      
  3C98              3C98                       59.72684167   10.43419444    0.03043          133.43    0       42.39            0.011        ---           ---       11.354   0.022       11.008   0.02        8.032    0.021       5.45     0.049      
  ESO549-G049       ESO549-G049                60.60691667   -18.04758333   0.02627          114.84    0       43.39            0.06         ---           ---       9.863    0.023       9.242    0.02        5.911    0.015       3.523    0.021      
