count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
1149,034545-071526,56.4382,-7.25753,6595,2006-02-08,38.0,10,3.7,5193,8010,3.6,7726,10590
1150,034545-071527,56.4383,-7.2575,6574,2008-11-01,48.0,10,4.3,5172,7988,4.2,7705,10568
1151,034547-000025,56.4499,-0.00711111,10792,2006-02-07,36.6,10,3.2,9351,12246,3.1,11954,14898
1152,034652-041112,56.7183,-4.18661,4334,2009-01-21,36.7,10,3.5,2953,5728,3.4,5448,8270
1153,034652-102040,56.72,-10.3445,11257,2008-11-11,39.5,10,3.4,9812,12715,3.5,12423,15375
1154,NGC-1459,56.742,-25.5231,4210,2008-03-11,50.5,5,7.0,2830,5603,6.8,5323,8142
1155,IRAS03450+0055,56.917,1.08722,9294,2011-02-12,36.2,51,1.7,7867,10734,?,?,?
1156,034800-095327,57.0025,-9.89083,9947,2009-01-21,39.2,10,3.3,8514,11393,3.4,11103,14030
1157,0350003-0127577,57.5012,-1.466,12323,2010-11-13,35.4,50,1.4,10868,13791,?,?,?
1158,0350003,57.5012,-1.46603,12323,2010-11-07,35.2,10,3.2,10868,13791,?,?,?
1159,J0350-0127,57.5015,-1.466,12376,2012-03-10,44.8,18,3.5,10921,13845,?,?,?
1160,J0350-0127,57.5015,-1.46606,12376,2011-01-04,34.9,25,2.1,10921,13845,?,?,?
1161,J0350-0127,57.5015,-1.46606,12376,2016-02-26,48.2,10,4.8,11012,13753,?,?,?
1162,J0350-0127,57.5015,-1.466,12376,2011-01-22,31.4,10,2.7,10921,13845,?,?,?
1163,J0350-0127,57.5015,-1.466,12376,2012-12-31,40.6,5,6.1,10921,13845,?,?,?
1164,J0350-0127,57.5015,-1.46603,12376,2011-10-10,49.9,25,3.8,10921,13844,?,?,?
1165,ESO-482-G47,57.6671,-25.28,4083,2008-03-11,50.0,5,7.0,2704,5474,6.9,5195,8012
1166,035220-005824,58.0837,-0.973306,11727,2008-12-08,38.6,35,1.8,10278,13189,1.7,12896,15857
1167,035220-005824,58.0838,-0.973361,11727,2008-11-11,37.3,10,3.3,10278,13189,3.5,12896,15857
1168,2MASXJ03525990-,58.2495,-4.84914,19865,2014-01-01,49.7,10,5.2,18339,21405,?,?,?
1169,0353424+3714077,58.4267,37.2355,5590,2010-11-03,47.2,10,4.6,4197,6995,4.2,6713,9558
1170,IC355,58.4425,19.9739,8648,2013-05-25,49.1,10,4.8,7227,10082,?,?,?
1171,035356-091026,58.4871,-9.17386,4287,2009-01-21,38.8,10,3.6,2906,5680,3.4,5401,8221
1172,J035407+155924,58.532,15.9901,6625,2014-11-04,66.9,10,7.1,5223,8040,?,?,?
1173,2MASXJ03540948+,58.5395,2.82519,10793,2013-12-30,67.1,8,7.9,9352,12247,?,?,?
1174,J035416+155543,58.5688,15.9287,6651,2014-11-04,66.6,10,7.0,5249,8066,?,?,?
1175,035509-172810,58.7887,-17.4694,8577,2008-11-01,52.1,10,4.7,7157,10010,4.9,9723,12624
1176,J035514+143614,58.8116,14.6041,12655,2014-11-04,59.2,10,6.1,11197,14126,?,?,?
1177,2MASXJ03560088-,59.0037,-13.7092,8786,2012-01-08,77.1,10,7.0,7364,10221,?,?,?
1178,2MASXJ03562913-,59.1215,-4.97519,19414,2014-01-01,49.9,10,5.3,17893,20950,?,?,?
1179,ESO-419-G12,59.2921,-28.8767,4114,2008-03-11,54.0,5,7.8,2735,5506,7.5,5227,8044
1180,0354-1855,59.2929,-18.7774,7534,2003-11-01,58.5,28,3.5,6124,8957,?,?,?
1181,NGC1489,59.4087,-19.2166,11557,2012-03-04,52.7,10,5.9,10109,13018,?,?,?
1182,MCG+00.11.002,59.4942,-0.190444,4126,2016-02-13,48.7,10,4.8,2833,5431,?,?,?
1183,035807-111809,59.5317,-11.3025,11185,2009-01-22,47.6,10,4.3,9741,12642,4.4,12350,15301
1184,2MASXJ03581372-,59.5571,-5.93961,19919,2014-01-01,50.3,10,5.5,18393,21460,?,?,?
1185,035829-112151,59.6225,-11.3642,11158,2009-01-22,46.5,10,4.4,9714,12615,4.1,12323,15273
1186,3C98,59.7267,10.4342,9130,2003-10-25,49.3,48,2.0,7705,10568,?,?,?
1187,ESO-483-G6,60.1104,-25.1819,4154,2008-03-11,49.3,5,7.2,2774,5546,6.5,5267,8085
1188,0401050+2256185,60.2708,22.9385,7479,2011-01-04,32.9,10,2.9,6069,8902,2.8,8616,11497
1189,ESO549-G049,60.6071,-18.0476,7887,2008-12-23,31.6,10,3.0,6473,9314,2.9,9027,11916
1190,UGC-2916,60.6411,71.706,4517,2005-12-19,35.4,5,4.7,3134,5912,4.8,5632,8457
1191,040246-210709,60.692,-21.1192,7638,2009-01-22,51.5,10,4.9,6226,9062,4.7,8777,11660
1192,UGC2936,60.701,1.96572,3813,2009-01-30,36.3,10,3.4,2436,5202,3.2,4923,7735
1193,UGC2936,60.7011,1.96575,3813,2007-03-30,46.5,30,2.9,2436,5202,?,?,?
1194,0403033+2144518,60.7637,21.7477,6324,2011-01-04,32.9,10,2.9,4925,7736,3.1,7453,10311
1195,040440-163013,61.1688,-16.5036,8660,2009-01-22,48.6,10,4.6,7239,10094,4.4,9806,12709
1196,IRASF04023-1638,61.1692,-16.5039,8643,2013-02-21,43.4,15,3.8,7222,10077,?,?,?
1197,MRK1193,61.7546,-10.1708,9619,2011-01-22,34.6,10,3.2,8189,11062,3.2,10772,13693
1198,ESO-420-G3,61.9414,-29.8597,4107,2008-03-11,53.2,5,7.3,2728,5499,7.1,5220,8037
1199,IRAS04061+1522,62.2512,15.5136,13461,2016-02-14,32.3,10,3.0,12087,14847,?,?,?
1200,SDSSJ04094-0429,62.3712,-4.48417,11616,2016-02-13,46.9,10,5.0,10258,12986,?,?,?
1201,IRC+30072,62.404,33.4937,0,2016-02-14,35.4,1,11.0,-1258,1269,?,?,?
1202,041010-175659,62.5424,-17.9498,11907,2009-01-22,46.5,10,4.2,10456,13371,4.3,13078,16042
1203,ESO-483-G12,62.595,-23.6175,4229,2008-03-11,45.7,5,6.1,2849,5622,5.8,5342,8162
1204,041103-175237,62.7646,-17.8769,9257,2008-11-01,52.5,10,4.7,7831,10696,4.6,10408,13322
1205,NPM1G-00.0148,63.2792,-0.837778,12000,2016-04-08,49.6,9,6.3,10639,13373,?,?,?
1206,ZHG900410+1021A,63.36,10.4742,27598,2003-11-03,35.9,44,1.8,25984,29199,?,?,?
1207,UGC-2988,63.412,25.483,3825,2006-11-04,37.1,5,5.0,2448,5214,4.6,4935,7747
1208,0414502+0146013,63.7091,1.767,12258,2010-11-27,38.8,10,3.6,10804,13725,3.7,13431,16402
1209,0414502,63.7092,1.76708,12258,2010-11-07,36.1,10,3.1,10804,13725,3.1,13431,16402
1210,IRAS04124-0803,63.7195,-7.92772,11365,2008-01-30,36.6,10,3.3,9919,12824,3.2,12531,15486
1211,J041545+312350,63.9404,31.3966,10657,2014-11-04,59.4,10,6.4,9218,12109,?,?,?
1212,0414+00,64.1796,0.272806,10163,2003-11-04,45.4,28,5.1,8728,11611,?,?,?
1213,04173688,64.4037,27.0678,7198,2010-10-09,40.8,10,3.7,5791,8618,3.3,8333,11208
1214,3C111,64.5886,38.0266,14540,2006-05-22,41.4,30,44.6,13065,16029,?,?,?
1215,2MASXJ04182221+,64.5926,18.0416,16659,2013-12-19,48.9,10,4.9,15164,18168,?,?,?
1216,NGC-1552,65.0737,-0.692778,4924,2005-10-02,63.2,5,8.6,4785,7593,9.7,2300,5063
1217,NGC-1530,65.8628,75.2956,2461,2005-12-19,35.8,5,4.9,1097,3837,4.4,3561,6347
1218,2MASXJ04234080+,65.92,4.13386,13491,2012-01-08,63.8,10,6.4,12025,14970,?,?,?
1219,NGC-1568B,66.1055,-0.746111,4734,2005-10-02,62.9,5,8.6,4595,7400,8.4,2114,4873
1220,042429-033933,66.1233,-3.65917,4799,2008-11-01,46.7,10,4.4,3414,6197,4.1,5917,8746
1221,J042506+253321,66.277,25.5562,12465,2014-11-04,56.2,7,7.3,11009,13934,?,?,?
1222,2MASXJ04252247+,66.3437,9.85608,5828,2009-12-30,32.7,10,3.1,4433,7235,2.7,6953,9802
1223,2MASXJ04252247+,66.3437,9.85611,5828,2009-12-01,40.4,10,3.8,4433,7235,3.4,6953,9802
1224,IRAS04247-0614,66.799,-6.12272,9353,2009-11-29,32.6,10,3.0,7926,10793,2.9,10504,13420
1225,042718-064308,66.8255,-6.71886,9014,2009-01-21,37.2,10,3.3,7590,10451,3.2,10163,13072
1226,2MASXJ04273897-,66.9124,-11.7257,9842,2009-11-29,33.5,10,3.0,8410,11287,3.0,10997,13922
1227,042741-070108,66.9212,-7.01892,11691,2009-01-21,38.4,10,3.3,10242,13153,5.8,12860,15821
1228,ugc3054,67.0646,1.05431,3895,2003-03-15,48.7,20,3.2,2518,5285,?,?,?
1229,2MASXJ04282604-,67.1084,-4.56361,4647,2012-01-08,66.0,10,6.2,3263,6044,?,?,?
1230,NGC-1591,67.3779,-26.7133,4127,2008-03-11,48.0,5,6.5,2747,5519,6.4,5240,8057
1231,UGC3059,67.4269,3.68203,4810,2007-03-30,47.9,60,2.0,3424,6208,?,?,?
1232,042946-031929,67.4437,-3.32486,4433,2009-01-21,37.6,10,3.6,3051,5828,3.5,5548,8371
1233,IRAS04281-0944,67.6387,-9.62908,14060,2003-11-10,30.6,32,1.5,12571,15526,?,?,?
1234,NGC-1589,67.6893,0.863667,3795,2005-11-03,47.8,5,6.4,2419,5184,5.9,4905,7716
1235,NGC1569,67.7042,64.8481,-103,2010-05-06,45.4,10,4.0,-1444,1249,4.0,978,3716
1236,NGC1569,67.7042,64.8481,-103,2010-05-10,39.0,20,2.6,-1444,1249,?,?,?
1237,J043113+083039,67.8075,8.511,4322,2014-11-04,72.2,10,7.5,2941,5715,?,?,?
1238,RXSJ04316-0241,67.9041,-2.68969,12600,2016-04-08,53.8,9,5.7,11234,13979,?,?,?
1239,NGC1599,67.9114,-4.58836,4054,2009-11-29,38.7,10,3.6,2675,5445,3.3,5166,7982
1240,043159-255509,67.9996,-25.9192,9824,2008-11-11,53.9,10,5.4,8392,11269,4.6,10979,13904
1241,MRK1506,68.2963,5.35436,9896,2008-02-02,52.6,10,5.5,8464,11341,4.9,11051,13978
1242,NGC1614,68.4991,-8.57886,4778,2009-01-25,38.3,10,3.8,3393,6176,3.6,5896,8725
1243,NGC1614,68.4995,-8.57889,4778,2009-11-29,39.6,10,3.8,3393,6176,3.3,5895,8725
1244,RXSJ04344+7127,68.6191,71.468,7500,2016-03-28,55.1,3,10.0,6178,8834,?,?,?
1245,IRAS04312+4008,68.6704,40.2386,6141,2011-02-12,35.0,20,2.3,4743,7551,?,?,?
1246,IRAS04332+0209,68.9517,2.25806,3590,2013-02-21,39.7,15,3.2,2215,4977,?,?,?
1247,MCG+00-12-051,69.0776,-2.83142,4697,2008-11-11,43.5,5,5.6,3312,6094,5.6,5814,8642
1248,MCG+00-12-051,69.0776,-2.83139,4697,2008-03-20,37.5,5,4.7,3312,6094,4.6,5814,8642
1249,MRK618,69.0927,-10.3761,10658,2009-11-29,33.2,10,5.9,9219,12110,3.1,11819,14760
1250,MCG+00-12-054,69.1258,-2.86636,4625,2005-10-02,63.5,5,8.6,4486,7289,9.1,2006,4764
1251,NGC-1620,69.1556,-0.143611,3511,2005-11-03,47.8,5,6.3,2137,4897,6.3,4619,7425
1252,J0437+2456,69.2652,24.9352,4835,2014-03-09,52.8,129,1.6,3449,6233,?,?,?
1253,J0437+2456,69.2652,24.9352,4835,2010-12-20,34.3,109,1.2,3449,6233,?,?,?
1254,J0437+2456,69.2652,24.9352,4835,2011-03-24,48.0,90,1.6,3449,6233,?,?,?
1255,J0437+2456,69.2652,24.9352,4835,2011-12-26,66.5,135,1.7,3449,6233,?,?,?
1256,J0437+2456,69.2652,24.9352,4835,2016-02-14,33.9,10,3.2,3536,6146,?,?,?
1257,J0437+2456,69.2652,24.9352,4835,2012-01-25,35.5,98,1.0,3449,6233,?,?,?
1258,J0437+2456,69.2652,24.9352,4835,2012-04-06,36.1,199,0.9,3449,6233,?,?,?
1259,J0437+2456,69.2653,24.9352,4835,2014-01-14,47.0,150,1.3,3449,6233,?,?,?
1260,J0437+2456,69.2653,24.9352,4835,2011-09-16,39.2,145,0.9,3449,6233,?,?,?
1261,J0437+2456,69.2653,24.9352,4835,2011-10-16,37.2,35,2.5,3449,6233,?,?,?
1262,J0437+2456,69.2653,24.9352,4835,2012-10-16,47.1,146,1.2,3449,6233,?,?,?
1263,J0437+2456,69.2653,24.9352,4835,2013-05-04,42.9,99,1.4,3449,6233,?,?,?
1264,J0437+2456,69.2653,24.9352,4835,2014-02-19,46.9,129,1.4,3449,6233,?,?,?
1265,J0437+2456,69.2653,24.9352,4835,2010-11-19,43.5,127,1.2,3449,6233,?,?,?
1266,J0437+2456,69.2653,24.9352,4835,2011-01-22,31.5,100,1.0,3449,6233,?,?,?
1267,J0437+2456,69.2653,24.9352,4835,2011-02-23,44.4,115,1.3,3449,6233,?,?,?
1268,J0437+2456,69.2653,24.9352,4835,2011-06-03,48.8,170,1.3,3449,6233,?,?,?
1269,J0437+2456,69.2653,24.9352,4835,2011-10-22,42.4,160,1.0,3449,6233,?,?,?
1270,J0437+2456,69.2653,24.9352,4835,2012-09-24,45.1,168,1.2,3449,6233,?,?,?
1271,J0437+2456,69.2653,24.9352,4835,2012-12-12,39.9,142,1.1,3449,6233,?,?,?
1272,J0437+2456,69.2653,24.9352,4835,2013-01-10,37.5,119,1.1,3449,6233,?,?,?
1273,J0437+2456,69.2653,24.9352,4835,2013-04-05,42.2,120,1.2,3449,6233,?,?,?
1274,J0437+2456,69.2653,24.9352,4835,2013-05-02,56.8,134,1.7,3449,6233,?,?,?
1275,J0437+2456,69.2653,24.9352,4835,2013-05-25,45.1,123,1.4,3449,6233,?,?,?
1276,J0437+2456,69.2653,24.9352,4835,2013-12-19,54.6,190,1.3,3449,6233,?,?,?
1277,J0437+2456,69.2653,24.9352,4835,2014-04-06,41.3,125,1.3,3449,6233,?,?,?
1278,J0437+2456,69.2653,24.9352,4835,2014-12-16,40.7,20,3.0,3449,6233,?,?,?
1279,J0437+2456,69.2653,24.9352,4835,2012-02-20,38.0,125,1.1,3449,6233,?,?,?
1280,J0437+2456,69.2653,24.9352,4835,2012-11-17,39.3,167,1.0,3449,6233,?,?,?
1281,J0437+2456,69.2653,24.9352,4835,2013-11-24,35.2,122,1.1,3449,6233,?,?,?
1282,J0437+2456,69.2653,24.9352,4835,2013-03-03,36.9,142,1.0,3449,6233,?,?,?
1283,J0437+2456,69.2653,24.9352,4835,2010-10-31,45.5,105,1.3,3449,6233,?,?,?
1284,J0437+2456,69.2653,24.9352,4835,2011-11-18,34.6,137,0.9,3449,6233,?,?,?
1285,J0437+2456,69.2653,24.9352,4835,2014-02-19,44.8,55,2.0,3449,6233,?,?,?
1286,J0437+2456,69.2653,24.9353,4835,2012-05-11,45.9,149,1.3,3449,6233,?,?,?
1287,04370366,69.2655,24.9353,4835,2010-10-09,45.6,30,2.5,3449,6233,?,?,?
1288,NGC-1625,69.2763,-3.30364,4700,2005-10-02,64.5,5,8.5,4561,7365,8.9,2080,4839
1289,0437170+6637420,69.2841,66.6283,3770,2010-11-13,35.4,5,4.2,2394,5158,4.2,4880,7690
1290,0437170+6637420,69.2843,66.6283,3770,2011-01-04,33.9,58,1.2,2394,5158,?,?,?
1291,J0437+6637,69.2843,66.6284,3770,2012-10-16,48.2,10,4.7,2394,5158,?,?,?
1292,0437170,69.3208,66.6283,3770,2010-11-09,41.0,10,3.7,2394,5158,3.5,4880,7690
1293,MCG-02-12-050,69.5592,-10.7959,10906,2008-12-23,30.3,10,35.0,9464,12361,2.6,12069,15015
1294,2MASXJ04382833-,69.618,-14.4103,10656,2012-03-04,51.2,9,6.4,9217,12108,?,?,?
1295,UGC-3117,69.7092,2.84467,4625,2005-11-03,47.7,5,6.2,3241,6021,6.4,5741,8568
1296,043946-131622,69.9434,-13.2728,9203,2009-01-22,45.8,10,4.2,7777,10642,4.1,10353,13266
1297,UGC-3122,69.9645,7.05522,4693,2005-10-16,43.5,5,5.9,4554,7358,5.5,2073,4832
1298,0439583+4920510,69.9929,49.3475,3896,2010-11-03,47.7,15,3.6,2519,5285,3.2,5007,7820
1299,NGC-1633,70.038,7.34944,4989,2005-10-16,43.0,5,5.9,4850,7660,5.7,2364,5128
1300,04401706,70.0708,-16.0425,8985,2010-10-09,50.8,10,4.8,7561,10422,4.5,10134,13042
1301,NGC1636,70.1675,-8.60781,4163,2009-01-25,37.3,10,3.8,2783,5555,3.3,5276,8094
1302,IRAS04385-0828,70.2288,-8.37278,4527,2009-01-25,39.2,45,1.8,3144,5923,?,?,?
1303,NGC-1638,70.402,-1.809,3320,2005-11-03,48.3,5,6.6,1948,4704,5.9,4427,7229
1304,UGC3134,70.4508,-1.30194,8607,2009-01-30,35.8,10,3.1,7187,10040,3.2,9753,12655
1305,NGC-1642,70.7287,0.618556,4633,2005-11-03,48.0,5,6.3,3249,6029,5.9,5749,8576
1306,044313-150934,70.8046,-15.1594,11203,2009-01-23,45.2,10,4.1,9759,12661,3.9,12368,15320
1307,044313-150934,70.8046,-15.1595,11203,2009-01-16,43.4,5,6.2,9759,12661,6.5,12368,15320
1308,UGC3142,70.945,28.9718,6496,2008-12-18,66.2,15,5.4,5095,7910,4.8,7626,10488
1309,J0444+2813,71.0376,28.2167,3378,2006-05-22,44.5,30,2.7,2005,4763,3.7,2005,4763
1310,IRAS04416+1215,71.12,12.3531,26652,2011-02-12,33.8,20,2.4,25061,28258,?,?,?
1311,044440-170854,71.1696,-17.1484,9560,2009-01-16,37.2,30,2.1,8131,11002,1.9,10713,13633
1312,UGC03151,71.341,11.0684,4380,2003-03-14,37.4,3,6.7,2998,5774,?,?,?
1313,NGC-1654,71.4521,-2.08389,4577,2005-10-02,65.2,5,9.3,4438,7240,9.5,1959,4716
1314,IC-392,71.6073,3.50553,4265,2005-11-03,47.8,5,6.5,2884,5658,6.0,5379,8198
1315,UGC3157,71.6241,18.4609,4619,2012-03-04,51.4,24,3.6,3235,6015,?,?,?
1316,UGC3157,71.6242,18.4608,4619,2012-01-08,62.4,10,5.7,3235,6015,?,?,?
1317,NGC-1659,71.625,-4.78886,4584,2005-10-02,65.4,5,9.3,4445,7247,8.9,1966,4723
1318,NPM1G-03.0212,71.7366,-3.08664,9300,2016-04-08,55.0,10,6.0,7962,10650,?,?,?
1319,0447281-0653179,71.8671,-6.88833,13673,2010-12-24,41.2,10,3.8,12206,15154,4.5,14857,17856
1320,044729-162857,71.8725,-16.4825,5216,2009-01-16,40.6,10,4.5,3827,6618,4.3,6337,9175
1321,0445-1741,71.8775,-17.5969,9007,2003-11-01,56.3,52,2.5,7583,10444,?,?,?
1322,UGC-3150,72.1122,73.4692,4501,2005-12-19,36.3,5,5.2,3118,5896,4.6,5616,8440
1323,NGC-1667,72.1546,-6.31997,4547,2005-10-02,66.8,5,9.2,4408,7210,9.6,1930,4686
1324,NGC1667,72.1547,-6.31981,4550,2003-03-05,55.5,30,3.2,3167,5946,?,?,?
1325,0446-2349,72.2331,-23.7298,8130,2003-10-24,43.6,40,2.0,6714,9559,?,?,?
1326,UGC-3181,72.6561,6.00886,4613,2005-10-16,43.9,5,5.7,4474,7277,6.2,1995,4752
1327,045115-262755,72.8159,-26.4653,11410,2009-01-23,54.4,10,4.9,9964,12870,5.2,12577,15532
1328,J045139-053838,72.9137,-5.64414,9913,2014-12-16,43.7,10,4.7,8481,11358,?,?,?
1329,MCG-01-13-025,72.923,-3.80933,4765,2008-02-02,55.0,10,5.5,3380,6163,5.1,5882,8712
1330,NGC1681,72.9586,-5.80325,2751,2009-11-29,40.8,10,3.9,1384,4130,3.7,3854,6645
1331,1RXSJ045205.0+4,73.0207,49.546,8694,2008-02-02,40.1,10,3.5,7273,10128,3.4,9840,12744
1332,NGC1685,73.1424,-2.94936,4500,2003-03-05,43.9,50,2.0,3117,5895,?,?,?
1333,J0452-0312,73.1854,-3.21583,4737,2009-01-30,37.1,10,3.7,3352,6134,3.3,5854,8683
1334,UGC3193,73.219,3.05717,4454,2008-11-11,37.7,35,2.0,3072,5849,?,?,?
1335,UGC-3193,73.219,3.05719,4454,2005-11-20,43.6,40,2.3,3072,5849,2.0,5569,8392
1336,UGC3193,73.219,3.05722,4454,2010-02-25,37.4,10,3.5,3071,5849,?,?,?
1337,UGC3193,73.2192,3.05711,4454,2009-11-16,53.3,25,3.3,3072,5849,?,?,?
1338,UGC-3193,73.2192,3.05722,4454,2005-11-03,49.5,15,3.8,3072,5849,3.9,5569,8392
1339,UGC3193,73.2192,3.05722,4454,2006-04-11,53.2,22,5.1,3071,5849,?,?,?
1340,0453246,73.3525,-4.79261,4229,2010-11-07,45.5,10,4.5,2849,5622,4.2,5342,8161
1341,CGCG420-015,73.3571,4.06169,8811,2011-01-22,31.8,10,2.8,7389,10246,2.8,9958,12864
1342,CGCG420-015,73.3575,4.06167,8811,2012-01-08,68.7,10,6.5,7389,10246,?,?,?
1343,0454318+5240066,73.6325,52.6685,9362,2011-01-04,31.9,10,3.1,7935,10802,2.9,10513,13429
1344,NGC-1691,73.6598,3.26797,4581,2005-11-20,43.3,5,6.5,3197,5977,5.4,5697,8523
1345,NGC1692,73.8487,-20.5711,10602,2012-03-04,53.2,8,8.5,9163,12054,?,?,?
1346,RXSJ04558+0238,73.972,2.64719,8994,2016-02-06,42.5,10,4.5,7659,10341,?,?,?
1347,UGC-3207,74.0407,2.15692,4550,2005-11-20,43.9,5,6.0,3167,5946,5.7,5666,8491
1348,IC-2106,74.1412,-28.5028,4955,2008-03-11,49.3,5,6.9,3568,6354,6.2,6074,8907
1349,ESO552-G39,74.6679,-21.9919,11870,2016-02-06,48.5,10,4.7,10510,13242,?,?,?
1350,UGC-3223,74.7891,4.975,4723,2005-10-16,45.0,5,5.6,4584,7389,6.4,2103,4862
1351,UGC3223,74.7892,4.975,4683,2016-04-08,51.5,20,3.7,3385,5993,?,?,?
1352,UGC-3224,74.8379,5.61831,4691,2005-10-16,43.5,5,5.9,4552,7356,5.9,2071,4830
1353,NGC-1726,74.9245,-7.75525,3992,2008-03-20,38.3,5,5.1,2614,5383,4.7,5104,7919
1354,NGC-1726,74.9246,-7.75525,3992,2008-11-11,44.6,5,6.2,2614,5382,5.4,5104,7918
1355,2MASXJ05002077+,75.0867,9.28222,10822,2009-11-16,48.0,10,24.0,9381,12276,4.7,11984,14928
1356,MCG-02-13-036,75.2576,-8.96111,3337,2009-11-29,41.0,10,3.9,1965,4722,3.4,4444,7246
1357,Mrk1089,75.4073,-4.25789,4019,2009-12-01,39.8,23,2.4,2641,5410,?,?,?
1358,MRK1089,75.4073,-4.25792,4019,2009-11-29,39.1,10,3.6,2641,5410,3.1,5131,7946
1359,IIZw028,75.425,3.57444,8583,2009-11-16,49.7,10,4.8,7163,10016,4.4,9729,12630
1360,MRK1091,75.4267,-14.2609,7796,2009-11-29,36.8,10,3.4,6383,9222,3.1,8936,11822
1361,NGC-1738,75.4442,-18.1586,3978,2008-02-03,42.9,5,5.6,2600,5368,5.6,5090,7904
1362,IRAS04596-2257,75.4525,-22.8897,12232,2016-02-06,48.9,10,4.8,10869,13607,?,?,?
1363,IRAS04596-2257,75.4529,-22.89,12232,2011-02-12,38.5,20,2.8,10778,13699,?,?,?
1364,MS04595+0327,75.5375,3.53053,4794,2016-02-06,44.1,10,4.2,3495,6105,?,?,?
1365,CGCG394-070,75.7238,-1.28622,4398,2009-12-01,39.7,10,3.8,3016,5792,3.1,5513,8335
1366,2MASXJ05025822+,75.7425,22.9977,17310,2008-12-18,62.5,15,4.6,15809,18825,4.2,18521,21591
1367,NGC-1762,75.9042,1.57333,4633,2005-11-20,43.4,5,5.8,3249,6029,5.1,5749,8576
1368,05042577,76.1071,-8.38306,10434,2010-10-09,45.7,10,4.3,8997,11884,4.0,11593,14530
1369,UGC3242,76.2013,4.47972,6090,2003-03-15,42.3,30,2.5,4693,7500,?,?,?
1370,NGC-1784,76.363,-11.8715,2316,2008-03-20,39.1,5,4.9,953,3691,4.8,3416,6199
1371,NGC-1784,76.363,-11.8716,2316,2008-11-11,47.4,5,5.7,953,3691,5.9,3415,6199
1372,050545-235114,76.4405,-23.8539,10522,2008-11-11,50.0,10,4.4,9084,11973,4.4,11682,14620
1373,J05054-2348,76.4405,-23.8539,10506,2006-05-22,53.6,40,3.0,9068,11957,?,?,?
1374,ESO422-G028,76.455,-28.5886,11422,2012-03-04,61.5,8,7.7,9976,12882,?,?,?
1375,CGCG394-079,76.5462,-0.0247778,7027,2009-12-01,35.5,10,3.5,5621,8445,3.1,8161,11033
1376,ESO-553-G2,76.6384,-17.5878,4782,2008-02-03,42.3,5,5.7,3397,6180,5.5,5900,8729
1377,ESO-553-G3,76.655,-17.5562,4514,2008-02-03,42.1,5,5.5,3131,5909,5.3,5630,8454
1378,NGC-1794,76.9808,-18.1908,4990,2008-02-03,42.5,5,5.8,3603,6390,5.4,6109,8943
1379,CGCG468-002NED0,77.082,17.3634,5248,2010-01-28,38.5,15,2.8,3858,6650,2.5,6369,9207
1380,CGCG468-002NED0,77.0821,17.3634,5252,2008-12-18,80.0,15,6.6,3862,6654,5.9,6373,9211
1381,CGCG468-002NED0,77.0821,17.3634,5248,2009-01-10,56.3,60,2.4,3858,6650,?,?,?
1382,0508212,77.0883,17.3689,5049,2010-11-07,35.4,10,3.4,3661,6449,3.1,6168,9003
1383,UGC-3245,77.1692,70.4801,4845,2005-12-19,36.9,5,4.9,3459,6243,4.8,5963,8793
1384,NGC-1812,77.2221,-29.2522,3915,2008-03-21,59.6,5,8.0,2537,5305,8.7,5026,7840
1385,UGC3255,77.4591,7.48333,5669,2004-11-11,38.4,32,1.9,4276,7075,?,?,?
1386,UGC3255,77.4591,7.48336,5669,2004-01-29,37.2,32,2.0,4275,7075,?,?,?
1387,UGC3255,77.4592,7.48314,5700,2003-03-07,29.7,40,1.4,4306,7106,?,?,?
1388,UGC3255,77.4592,7.48336,5669,2003-10-30,49.3,56,2.3,4276,7075,?,?,?
1389,UGC3255,77.4621,7.48347,5650,2003-04-27,30.9,24,2.0,4257,7056,?,?,?
1390,UGC-3250,77.6317,63.1654,4530,2005-12-19,38.9,5,5.5,3147,5925,5.0,5646,8470
1391,4U0517+17,77.6896,16.4988,5360,2008-02-02,49.6,10,4.8,3969,6763,4.7,6482,9322
1392,CGCG469-002NED0,77.6963,18.0303,7858,2010-02-25,30.2,10,2.7,6444,9284,2.5,8998,11886
1393,CGCG469-002NED0,77.6983,18.0197,7464,2010-02-25,31.2,10,2.8,6054,8887,2.6,8601,11482
1394,MRK1094,77.7004,-2.68161,2831,2009-12-01,42.2,10,3.9,1463,4211,3.5,3934,6727
1395,ESO-553-G20,77.9104,-20.4272,3997,2008-02-03,44.6,5,6.5,2619,5388,5.8,5109,7924
1396,NGC-1819,77.9423,5.20061,4470,2005-10-16,43.3,5,5.8,4331,7131,5.7,1854,4609
1397,051148-252024,77.9513,-25.34,11413,2009-01-23,53.7,10,5.1,9967,12873,4.9,12580,15535
1398,NGC-1832,78.0139,-15.6878,1937,2008-11-11,49.8,5,6.6,577,3309,6.2,3034,5810
1399,NGC-1832,78.0139,-15.6878,1937,2008-03-20,40.7,5,5.0,577,3309,5.1,3034,5810
1400,05151978,78.8325,18.9144,7042,2010-10-09,44.1,10,4.1,5636,8460,3.6,8176,11048
1401,3C136.1,79.0127,24.9736,19200,2004-01-21,28.3,40,1.2,17681,20734,?,?,?
1402,AKN120,79.0475,-0.14975,9807,2016-02-06,41.8,10,4.1,8465,11161,?,?,?
