count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
4741,MRK685,217.787,27.2367,4464,2009-12-16,32.2,10,2.9,3082,5859,2.5,5579,8402
4742,CG0457,217.833,34.6344,4317,2010-05-07,41.2,10,3.7,2936,5710,3.3,5431,8252
4743,CG0457,217.833,34.6345,4317,2010-12-21,48.3,8,4.9,2936,5710,4.1,5431,8251
4744,CGCG1429.3+3327,217.855,33.2306,6758,2010-02-01,30.3,10,2.8,5355,8174,2.5,7890,10756
4745,CGCG1429.3+3327,217.855,33.2306,6758,2010-01-29,29.8,10,2.7,5355,8174,2.4,7890,10756
4746,CGCG163-072,217.857,30.787,3648,2010-01-29,32.8,10,3.0,2273,5035,2.7,4757,7565
4747,NGC-5678,218.023,57.9215,1922,2006-11-27,42.5,5,11.4,563,3293,8.4,3018,5794
4748,CGCG1429.9+1009,218.087,9.93358,1395,2009-12-16,31.7,10,2.9,40,2762,2.8,2488,5253
4749,143227+495416,218.114,49.9046,2281,2006-11-13,52.1,10,4.9,2007,4765,4.8,-162,2555
4750,NGC5635,218.128,26.919,4300,2003-03-07,30.9,30,1.7,2919,5693,?,?,?
4751,2MASXJ14323249+,218.135,34.107,12721,2012-11-14,45.5,10,53.3,11263,14193,?,?,?
4752,NGC5675,218.165,36.3024,4000,2003-03-07,44.1,30,2.6,2622,5390,?,?,?
4753,143239+361808,218.166,36.3022,3970,2006-11-13,50.6,10,4.6,3693,6482,4.6,1499,4247
4754,143239+361808,218.166,36.3022,3970,2007-02-08,32.6,10,2.9,2592,5360,3.0,5081,7895
4755,NGC5643,218.17,-44.1747,1199,2014-12-14,192.4,10,26.7,-153,2564,?,?,?
4756,NGC-5676,218.196,49.4575,2114,2008-05-29,44.5,10,4.0,753,3487,4.0,3212,5991
4757,2MASXJ14325541+,218.231,29.5747,8980,2010-12-21,45.9,8,4.7,7556,10416,3.8,10128,13037
4758,2MASXJ14325541+,218.231,29.5747,8980,2010-05-07,34.7,10,3.1,7556,10417,3.1,10128,13037
4759,SDSSJ14331+5258,218.294,52.9751,14200,2016-05-24,83.7,10,8.5,12820,15593,?,?,?
4760,143338.3+034146,218.409,3.69614,9724,2012-02-28,39.3,10,4.2,8294,11167,?,?,?
4761,NGC5664,218.432,-14.6197,4544,2012-02-28,45.6,10,5.0,3161,5939,?,?,?
4762,NGC5674,218.468,5.45831,7474,2003-10-30,49.6,36,2.5,6064,8896,?,?,?
4763,NGC5674,218.468,5.45822,7474,2013-03-20,37.5,9,4.2,6064,8896,?,?,?
4764,J1434+1242,218.548,12.7142,9305,2015-01-23,41.5,10,4.2,7879,10744,?,?,?
4765,143416+371202,218.569,37.2007,10455,2006-11-18,40.4,10,3.7,9018,11905,3.4,11614,14551
4766,1431-3237,218.657,-32.8199,7615,2004-01-30,71.8,24,5.0,6204,9039,?,?,?
4767,FBQSJ143444.9+2,218.687,23.2953,29979,2003-11-03,35.8,48,1.4,28371,31633,?,?,?
4768,Zw047.107,218.711,3.64517,8588,2016-02-09,45.5,10,4.4,7257,9931,?,?,?
4769,NGC-5687,218.718,54.4757,2119,2008-03-10,81.0,10,7.9,758,3492,7.9,3217,5996
4770,MARK474,218.718,48.6619,12300,2016-03-29,47.8,7,5.6,10936,13676,?,?,?
4771,J1435+1007,218.848,10.1179,9364,2015-01-23,41.9,10,4.4,7937,10804,?,?,?
4772,143527+092634,218.866,9.44283,8143,2007-04-11,47.5,10,4.4,6727,9572,4.2,9285,12178
4773,NGC-5689,218.874,48.7431,2160,2008-05-29,44.7,10,3.8,798,3534,3.8,3258,6039
4774,143544+350434,218.934,35.0761,8615,2006-11-18,41.2,30,2.3,7195,10048,2.0,9761,12662
4775,143546+244333,218.94,24.7258,10803,2008-02-08,39.6,10,3.4,9363,12256,3.5,11965,14908
4776,SDSSJ14358+3413,218.968,34.2293,13500,2016-05-24,91.9,9,10.1,12126,14886,?,?,?
4777,MRK817,219.092,58.7942,9430,2009-12-27,27.9,5,3.6,8002,10871,3.5,10582,13499
4778,143630.4+574901,219.127,57.8169,12181,2012-12-15,44.7,10,4.4,10728,13647,?,?,?
4779,143635+115618,219.147,11.9384,8585,2007-04-11,46.8,10,4.5,7165,10018,3.7,9730,12631
4780,J143641+345823,219.172,34.9731,9054,2013-12-30,61.8,8,7.3,7630,10491,?,?,?
4781,143642+395636,219.178,39.9436,5999,2006-11-13,50.4,10,4.8,5719,8544,5.0,3495,6279
4782,143642+395636,219.178,39.9436,5999,2006-12-24,53.7,10,5.0,4603,7408,4.8,7125,9977
4783,NGC-5698,219.311,38.4543,3646,2008-03-10,67.1,10,6.9,2271,5033,6.2,4755,7563
4784,143722+363404,219.342,36.5679,4241,2006-11-18,44.0,10,4.3,2861,5634,4.2,5354,8173
4785,NGC5695,219.343,36.5676,4200,2003-03-07,47.8,20,3.4,2820,5592,?,?,?
4786,J1437+2545,219.366,25.7655,9853,2015-01-10,31.1,40,1.7,8421,11298,?,?,?
4787,J1437+2545,219.366,25.7656,9853,2015-01-09,40.0,10,4.0,8421,11298,?,?,?
4788,NGC5691,219.472,-0.398889,1870,2009-11-07,42.3,10,3.7,511,3241,3.7,2966,5741
4789,NGC5691,219.472,-0.398833,1870,2013-12-24,46.8,25,3.3,511,3241,?,?,?
4790,143812+243130,219.549,24.5251,4936,2008-02-08,43.2,10,3.9,3549,6335,3.7,6054,8886
4791,NGC5692,219.575,3.41028,1561,2009-11-07,40.6,10,3.5,205,2929,3.8,2655,5424
4792,143822+232544,219.593,23.4288,9382,2007-12-14,36.3,10,3.2,7955,10822,3.0,10533,13449
4793,143838+363354,219.662,36.5652,9558,2006-11-18,40.2,10,3.8,8129,11000,3.4,10711,13630
4794,J143842-000027,219.679,-0.00777778,10108,2012-12-23,38.5,22,3.2,8674,11555,?,?,?
4795,NGC-5701,219.796,5.36364,1506,2005-10-02,130.3,5,19.1,1370,4116,101.4,-1059,1642
4796,J143916+194128,219.817,19.6912,9368,2013-05-02,50.7,9,5.6,7941,10808,?,?,?
4797,J143922+195927,219.844,19.9909,9062,2013-05-02,50.4,9,5.9,7638,10500,?,?,?
4798,J1439+6200,219.888,62.0029,6690,2015-03-28,37.8,10,3.7,5375,8017,?,?,?
4799,SBS1438+594,219.896,59.2738,8719,2012-11-24,38.1,10,4.2,7298,10153,?,?,?
4800,143937+030848,219.908,3.14669,8838,2006-11-18,44.0,10,4.1,7416,10273,3.9,9985,12891
4801,NGC-5713,220.048,-0.289167,1883,2005-10-02,131.4,5,19.3,1747,4499,23.6,-688,2019
